k,xk,f(xk),fd(xk),epsilon
896,-1.08847e+250,-2.17694e+250,-19.7568,1.90597
897,-1.19866e+250,-2.39731e+250,0.747343,0.0919252
898,2.00912e+250,4.01825e+250,0.989325,1.59661
899,-2.05248e+250,-4.10497e+250,-13.7445,1.97887
900,-2.35115e+250,-4.70229e+250,-0.926068,0.127028
901,-7.42885e+250,-1.48577e+251,-10.4482,0.683511
902,-8.85088e+250,-1.77018e+251,0.351341,0.160666
903,4.15326e+251,8.30652e+251,0.0835447,1.21311
904,-9.52728e+252,-1.90546e+253,-30.6412,1.04359
905,-1.01491e+253,-2.02983e+253,0.929114,0.0612723
906,1.16978e+253,2.33956e+253,-2.12381,1.86761
907,2.27137e+253,4.54273e+253,-1.31032,0.484989
908,5.73825e+253,1.14765e+254,0.984358,0.604171
909,-5.92062e+253,-1.18412e+254,-0.623013,1.9692
910,-2.4927e+254,-4.98541e+254,-0.870648,0.762482
911,-8.21879e+254,-1.64376e+255,0.0992875,0.696707
912,1.57337e+256,3.14673e+256,-32.2426,1.05224
913,1.67096e+256,3.34192e+256,0.603846,0.0584068
914,-3.86343e+256,-7.72687e+256,-1.63899,1.43251
915,-8.57785e+256,-1.71557e+257,0.412044,0.549603
916,3.30577e+257,6.61154e+257,0.763718,1.25948
917,-5.35128e+257,-1.07026e+258,-0.639433,1.61775
918,-2.20888e+258,-4.41777e+258,-20.6115,0.757738
919,-2.42322e+258,-4.84644e+258,0.598405,0.0884504
920,5.6757e+258,1.13514e+259,-2.98547,1.42695
921,9.47792e+258,1.89558e+259,-5.15923,0.401166
922,1.31521e+259,2.63042e+259,0.970814,0.27936
923,-1.39429e+259,-2.78857e+259,0.935933,1.94328
924,1.58517e+259,3.17034e+259,0.998442,1.87958
925,-1.59012e+259,-3.18024e+259,-1.13136,1.99689
926,-4.40112e+259,-8.80223e+259,0.978106,0.638701
927,4.59815e+259,9.19629e+259,0.75055,1.95715
928,-7.6546e+259,-1.53092e+260,-20.9074,1.6007
929,-8.38683e+259,-1.67737e+260,0.486523,0.087308
930,2.60898e+260,5.21796e+260,0.997699,1.32146
931,-2.62101e+260,-5.24203e+260,-1.34951,1.99541
932,-6.50542e+260,-1.30108e+261,-21.8486,0.597103
933,-7.10092e+260,-1.42018e+261,0.948012,0.0838624
934,7.87974e+260,1.57595e+261,0.812916,1.90116
935,-1.15066e+261,-2.30132e+261,-3.69821,1.6848
936,-1.77294e+261,-3.54588e+261,0.974752,0.350987
937,1.86478e+261,3.72957e+261,0.999701,1.95075
938,-1.8659e+261,-3.7318e+261,0.995644,1.9994
939,1.88223e+261,3.76445e+261,0.819354,1.99133
940,-2.71219e+261,-5.42437e+261,0.680879,1.69399
941,5.25454e+261,1.05091e+262,-88.1551,1.51616
942,5.37375e+261,1.07475e+262,-2.83634,0.022184
943,9.16296e+261,1.83259e+262,0.543306,0.413535
944,-2.45674e+262,-4.91348e+262,0.0222742,1.37297
945,2.18134e+264,4.36269e+264,-150.754,1.01126
946,2.21028e+264,4.42057e+264,0.905126,0.0130929
947,-2.67364e+264,-5.34727e+264,0.686038,1.82669
948,5.1208e+264,1.02416e+265,0.980823,1.52211
949,-5.32103e+264,-1.06421e+265,0.982837,1.96237
950,5.50688e+264,1.10138e+265,-110.419,1.96625
951,5.60662e+264,1.12132e+265,0.519179,0.0177906
952,-1.59914e+265,-3.19828e+265,-6.01403,1.3506
953,-2.13095e+265,-4.26189e+265,-3.01647,0.249562
954,-3.54382e+265,-7.08764e+265,-163.617,0.398687
955,-3.58714e+265,-7.17427e+265,-0.296475,0.0120761
956,-2.77857e+266,-5.55714e+266,-6.08694,0.8709
957,-3.69153e+266,-7.38306e+266,-77.3869,0.247312
958,-3.78694e+266,-7.57387e+266,0.41459,0.0251931
959,1.44814e+267,2.89628e+267,0.928696,1.2615
960,-1.67051e+267,-3.34102e+267,-33.7548,1.86688
961,-1.76949e+267,-3.53898e+267,-2201.93,0.0559365
962,-1.7711e+267,-3.5422e+267,-33.5013,0.000907471
963,-1.87683e+267,-3.75366e+267,-0.262772,0.056336
964,-1.61617e+268,-3.23233e+268,0.857906,0.883871
965,2.15153e+268,4.30307e+268,-7.99856,1.75117
966,2.68951e+268,5.37903e+268,-21.9984,0.200029
967,2.93403e+268,5.86806e+268,0.805224,0.0833389
968,-4.35346e+268,-8.70693e+268,-47.9916,1.67395
969,-4.53489e+268,-9.06978e+268,-0.379435,0.0400067
970,-2.84383e+269,-5.68765e+269,0.900287,0.840536
971,3.47377e+269,6.94755e+269,-9.36432,1.81866
972,4.21569e+269,8.43138e+269,-1.33174,0.175989
973,1.05468e+270,2.10936e+270,-54.5554,0.600286
974,1.09334e+270,2.18669e+270,-0.108338,0.0353636
975,2.12774e+271,4.25547e+271,0.345875,0.948615
976,-1.01757e+272,-2.03515e+272,0.826855,1.2091
977,1.44374e+272,2.88747e+272,-7.72333,1.70482
