file,replication,elapsed_time,quality,items
b100.lia,14,0.002201638,1330,100
b100.lia,15,0.001790816,1453,100
b100.lia,16,0.00167087,1471,100
b100.lia,17,0.002607303,1361,100
b100.lia,18,0.001746928,1697,100
b100.lia,19,0.002550647,1329,100
b100.lia,20,0.001236737,1250,100
b100.lia,21,0.003414575,1410,100
b100.lia,22,0.001744334,1120,100
b100.lia,23,0.00085499,1180,100
b100.lia,24,0.004191601,1187,100
b100.lia,25,0.001877331,1351,100
b100.lia,26,0.001688777,1273,100
b100.lia,27,0.001367739,1382,100
b100.lia,28,0.000498724,1299,100
b100.lia,29,0.001987116,1543,100
b100.lia,30,0.002519721,1577,100
c10000.lia,1,8.483944845,99348,10000
c10000.lia,2,6.949052847,99936,10000
c10000.lia,3,4.8017623,100064,10000
c10000.lia,4,8.613736304,99682,10000
c10000.lia,5,8.602744541,96734,10000
c10000.lia,6,3.516829237,101321,10000
c10000.lia,7,7.7977014,99889,10000
c10000.lia,8,13.019752161,101394,10000
c10000.lia,9,10.950172532,99832,10000
c10000.lia,10,4.573420109,98229,10000
c10000.lia,11,10.312533508,101406,10000
c10000.lia,12,3.246180726,98763,10000
c10000.lia,13,9.69774232,98824,10000
c10000.lia,14,12.567289562,98469,10000
c10000.lia,15,7.805850846,100341,10000
c10000.lia,16,11.814118545,101807,10000
c10000.lia,17,0.38596533,99994,10000
c10000.lia,18,0.396309907,98741,10000
c10000.lia,19,8.349191299,101974,10000
c10000.lia,20,9.30450062,102862,10000
c10000.lia,21,7.216808796,100426,10000
c10000.lia,22,8.441302067,102301,10000
c10000.lia,23,6.118370877,101088,10000
c10000.lia,24,8.307952331,95537,10000
c10000.lia,25,0.443137033,102065,10000
c10000.lia,26,10.070446897,100381,10000
c10000.lia,27,5.760013042,100423,10000
c10000.lia,28,6.409291129,99633,10000
c10000.lia,29,5.186866073,96685,10000
c10000.lia,30,7.315521022,98662,10000
c1000.lia,1,0.018192651,10201,1000
c1000.lia,2,0.030684972,9527,1000
c1000.lia,3,0.023644157,9762,1000
c1000.lia,4,0.286767114,11824,1000
c1000.lia,5,0.01811678,10064,1000
c1000.lia,6,0.047742329,10513,1000
c1000.lia,7,0.019403493,10653,1000
c1000.lia,8,0.020948496,11058,1000
c1000.lia,9,0.035131674,10413,1000
c1000.lia,10,0.020777128,10223,1000
c1000.lia,11,0.016354309,10468,1000
c1000.lia,12,0.019703164,10489,1000
c1000.lia,13,0.018140442,10555,1000
c1000.lia,14,0.035616109,9556,1000
c1000.lia,15,0.020718959,10881,1000
c1000.lia,16,0.023300633,11143,1000
c1000.lia,17,0.03812778,10840,1000
c1000.lia,18,0.126942748,10591,1000
c1000.lia,19,0.301189831,11159,1000
c1000.lia,20,0.027693935,10327,1000
c1000.lia,21,0.016899759,10558,1000
c1000.lia,22,0.023159987,10607,1000
c1000.lia,23,0.029894724,10610,1000
c1000.lia,24,0.015965533,9896,1000
c1000.lia,25,0.243019343,11563,1000
c1000.lia,26,0.018738285,10553,1000
c1000.lia,27,0.021631134,11146,1000
c1000.lia,28,0.022690257,10396,1000
c1000.lia,29,0.227804368,11367,1000
c1000.lia,30,0.02285955,11522,1000
c100.lia,1,0.002590792,1093,100
c100.lia,2,0.001626351,1419,100
c100.lia,3,0.001511651,1527,100
c100.lia,4,0.004191859,1473,100
c100.lia,5,0.003014859,1446,100
c100.lia,6,0.003837633,1447,100
c100.lia,7,0.000655241,1287,100
c100.lia,8,0.005354803,1373,100
c100.lia,9,0.002922593,1287,100
c100.lia,10,0.005391204,1415,100
c100.lia,11,0.002915146,1404,100
c100.lia,12,0.005064094,1503,100
c100.lia,13,0.004188858,1289,100
c100.lia,14,0.001179005,1150,100
c100.lia,15,0.00352247,1608,100
c100.lia,16,0.003573529,1775,100
c100.lia,17,0.002914873,1394,100
c100.lia,18,0.001158668,1098,100
c100.lia,19,0.002989186,1372,100
c100.lia,20,0.001296703,1122,100
c100.lia,21,0.007270618,1555,100
c100.lia,22,0.002840504,1421,100
c100.lia,23,0.001832228,1333,100
c100.lia,24,0.002567019,1153,100
c100.lia,25,0.001854779,1273,100
c100.lia,26,0.001611927,1239,100
c100.lia,27,0.000924752,1213,100
c100.lia,28,0.001516545,1174,100
c100.lia,29,0.003683553,1548,100
c100.lia,30,0.00165881,1495,100
